canonical_smiles,r_i_docking_score,n_measurements
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@@H]2c2ccc(OCC(N)=O)cc2)N1,-5.932564812274569,1
C#CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)cc2)N1,-6.9281111783382325,1
C#CCSc1nc(=O)c2c([nH]1)NC(=O)C[C@@H]2c1ccc(OCC(N)=O)cc1,-7.014824750724868,1
C#CCSc1nc2c(c(=O)[n-]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-6.970778859050341,1
C#CCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(OCC(N)=O)cc1)CC(=O)N2,-7.655351770820019,1
C=CCNC(=O)CCc1nc(-c2cc3cc(C)ccc3[nH]c2=O)no1,-8.315691208678647,1
C=CCNC(=O)CSc1nc2c(cnn2-c2ccc(Cl)cc2)c(=O)[nH]1,-7.19528449264283,1
C=CCNC(=O)[C@H]1CC(=O)N(c2ccc(OCC(=O)Nc3cccc(OC)c3)cc2)C1,-5.857166532696601,1
C=CCNC(=O)c1cc(-c2ccc(Br)cc2)on1,-7.272394309826257,1
C=CCNC(=O)c1cc(-c2ccc(F)cc2)on1,-8.029292668821332,1
C=CCNC(=O)c1cc(-c2ccc(O)cc2)on1,-6.994974718870079,1
C=CCSC1=NC([O-])=C2C(=NC(=O)C[C@H]2c2ccc(OCC(N)=O)cc2)N1,-7.940465377463502,1
C=CCn1c([C@H]2CC(=O)N(CCOC)C2)nc2ccccc21,-6.581263277140093,1
C=CCn1c2ccccc2c2nnc(S[C@@H](CC)C(=O)Nc3ccc(NC(C)=O)cc3)nc21,-7.166761981903815,1
C=CCn1c2ccccc2c2nnc(S[C@H](CC)C(=O)Nc3ccc(NC(C)=O)cc3)nc21,-8.043939674552192,1
CC(=O)NC1=NN(C(C)=O)[C@@H](c2cccc(OCCCOc3cccc(C)c3)c2)S1,-5.914462935368873,1
CC(=O)NC1=NN(C(C)=O)[C@@](C)(c2ccc(NC(C)=O)cc2)S1,-8.715152125569587,1
CC(=O)NCCCCCc1nc2ccccc2n1Cc1ccc(Cl)cc1,-8.032861580135513,1
CC(=O)NCCCCCc1nc2ccccc2n1Cc1ccccc1,-7.707487186587321,1
CC(=O)NCCc1nc2cc(NC(=O)COc3ccc(Cl)cc3)ccc2n1C,-5.614321086653558,1
CC(=O)NCCc1nc2cc(NC(C)=O)ccc2n1C,-7.929186588274704,1
CC(=O)NCc1nc(-c2ccc(C(C)(C)C)cc2)no1,-7.604701938112796,1
CC(=O)NCc1nc(-c2ccc(Cl)cc2)no1,-7.310795200210885,1
CC(=O)NCc1nc(-c2cccc(C)c2)no1,-7.55953857682756,1
CC(=O)Nc1ccc(/C=N/NC(=O)[C@H](NC(=O)c2ccccc2)c2n[nH]c(=O)c3ccccc23)cc1,-8.964994866593491,1
CC(=O)Nc1ccc(C(=O)/[NH+]=C(\NCc2c(C)nn(C)c2C)Nc2ccc(C(C)C)cc2)cc1,-3.2880420679928632,1
CC(=O)Nc1ccc(C(=O)/[NH+]=C(\NCc2ccncc2)Nc2ccc(C)cc2)cc1,-7.255715623001047,1
CC(=O)Nc1ccc(C(=O)N/N=C/c2cccc(C)n2)cc1,-8.388477911393222,1
CC(=O)Nc1ccc(C(=O)NCCn2c(-c3ccc(F)cc3)nc3cccnc32)cc1,-8.942813775896681,1
CC(=O)Nc1ccc(C(=O)NCCn2c(-c3ccccc3)nc3cccnc32)cc1,-8.432049970182854,1
CC(=O)Nc1ccc(C(=O)NCc2ccc3c(c2)OCO3)cc1,-7.755730320520738,1
CC(=O)Nc1ccc(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)cc1,-2.925673693072889,1
CC(=O)Nc1ccc(C(=O)Nc2nnc([C@@H]3CC(=O)N(c4ccc(C)cc4)C3)s2)cc1,-4.262090073271026,1
CC(=O)Nc1ccc(N/C=C2\N=C(c3ccccc3Br)OC2=O)cc1,-9.046082602859556,1
CC(=O)Nc1ccc(N2C(=O)CN(S(C)(=O)=O)C[C@@]2(C)C(=O)NC2CCCCC2)cc1,-8.503597071965864,1
CC(=O)Nc1ccc(N2C(=O)c3cc4ccsc4n3C[C@@]2(C)C(=O)NC2CCCCC2)cc1,-8.087680371328148,1
CC(=O)Nc1ccc(NC(=O)CCCn2nc(C)c([N+](=O)[O-])c2C)cc1,-8.025328568125266,1
CC(=O)Nc1ccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)cc1,-8.717204664716226,1
CC(=O)Nc1ccc(NC(=O)CCc2ccc3nc(NC(C)=O)sc3c2)cc1,-9.441982098908156,1
CC(=O)Nc1ccc(NC(=O)COc2cccc3c2OC(C)(C)C3)cc1,-7.895332574498667,1
CC(=O)Nc1ccc(NC(=O)CSC2=[NH+]C(=O)C[C@@H](c3ccccc3F)[C@H]2C#N)cc1,-8.139422633363111,1
CC(=O)Nc1ccc(NC(=O)CSC2=[NH+]C(=O)C[C@H](c3ccccc3F)[C@@H]2C#N)cc1,-7.311549436684698,1
CC(=O)Nc1ccc(NC(=O)CSc2n[nH]c(C)n2)cc1,-8.103643886131461,1
CC(=O)Nc1ccc(NC(=O)CSc2nc(C)n[nH]2)cc1,-8.407524486838078,1
CC(=O)Nc1ccc(NC(=O)CSc2nc3[nH+]c[nH]c3c(=O)[n-]2)cc1,-9.71704131047153,1
CC(=O)Nc1ccc(NC(=O)CSc2ncc(CO)n2CC(=O)NCc2ccccc2)cc1,-8.349077045567766,1
CC(=O)Nc1ccc(NC(=O)CSc2nnc3ccc(-c4ccncc4)nn23)cc1,-6.778276648914196,1
CC(=O)Nc1ccc(NC(=O)CSc2nnnn2-c2ccccc2)cc1,-8.193620962542697,1
CC(=O)Nc1ccc(NC(=O)C[C@@H](C)n2ccc(C)n2)cc1,-7.913334455114583,1
CC(=O)Nc1ccc(NC(=O)C[C@@H]2Nc3ccccc3NC2=O)cc1,-6.789841595542455,1
CC(=O)Nc1ccc(NC(=O)C[C@H]2Nc3ccccc3NC2=O)cc1,-7.568175725293642,1
CC(=O)Nc1ccc(NC(=O)C[C@H]2Sc3ccccc3NC2=O)cc1,-7.281918402895321,1
CC(=O)Nc1ccc(NC(=O)Cc2csc(NC(=O)c3ccco3)n2)cc1,-8.743154394594207,1
CC(=O)Nc1ccc(NC(=O)Cn2cc([N+](=O)[O-])cn2)cc1,-8.500026114993695,1
