canonical_smiles,r_i_docking_score,n_measurements
C=CCNc1ccc(-c2nc(CC)no2)cc1[N+](=O)[O-],-3.87976,1
C=CCO/C([O-])=C1/C(C)=N[C+](SCC(=O)Nc2ccc(OC)cc2)[C@H](C#N)[C@@H]1c1ccco1,0.317293,1
C=CCOC(=O)C1=C(C)NC(SCC(=O)Nc2ccc(OC)cc2)=C(C#N)[C@H]1c1ccco1,-3.80292,1
C=CCOC(=O)c1[nH]c2c(c1C)C(=O)C[C@@H](c1ccc(OCC)cc1)C2,-4.29735,1
C=CCOC(=O)c1sc(NC(=O)c2cc(-c3ccc(OC)cc3)on2)nc1C,-1.70396,1
C=CCOC(=O)c1sc([N-]C(=O)c2cc(-c3ccccc3)on2)nc1C,-3.1532,1
C=CCOc1c(Br)cc(CNCCNC(=O)c2nonc2N)cc1OC,-0.982647,1
C=CCOc1c(Cl)cc(CNCCNC(=O)c2nonc2N)cc1OC,-1.70722,1
C=CCOc1c(Cl)cc(CNCCSc2nnnn2C)cc1OC,-1.20111,1
C=CCOc1c(Cl)cc(C[NH2+]CCNC(=O)c2nonc2N)cc1OC,-2.5,1
C=CCOc1c(Cl)cc(C[NH2+]CCSc2nnnn2C)cc1OC,-2.20638,1
C=CCOc1ccc(-c2nc(=O)c3c([nH]2)Oc2ccc(Cl)cc2C3)cc1,-3.9861,1
C=CCOc1ccc(-c2nc3s/c(=C/c4cc(OC)ccc4OC)c(=O)n3n2)cc1,-3.41763,1
C=CCOc1ccc(-c2nc3s/c(=C\c4ccc(OC)cc4)c(=O)n3n2)cc1,-5.95024,1
C=CCOc1ccc(/C=c2\sc3nc(-c4ccncc4)nn3c2=O)cc1,-4.42096,1
C=CCOc1ccc(C(=O)N2CCC(c3nc4ccccc4o3)CC2)cc1,-6.00419,1
C=CCOc1ccc(C(=O)NC[C@H](c2ccc(OC)cc2)N2CCCC2)cc1,-2.00876,1
C=CCOc1ccc(C(=O)NC[C@H](c2ccc(OC)cc2)N2CCCCCC2)cc1,-3.47941,1
C=CCOc1ccc(C(=O)NCc2csc(-c3ccc(C)cc3)n2)cc1,-3.70513,1
C=CCOc1ccc(C(=O)NCc2csc(-c3ccccc3)n2)cc1,-3.80277,1
C=CCOc1ccc(C(=O)Nc2nc3c(s2)C[C@@H](C)CC3)cc1,-5.55865,1
C=CCOc1ccc(C(=O)Nc2nc3c(s2)C[C@H](C)CC3)cc1,-5.93117,1
C=CCOc1ccc(C(=O)Nc2nonc2-c2ccc(C)cc2)cc1,-6.039,1
C=CCOc1ccc(C(=O)Oc2cccc(-n3cnnn3)c2)cc1,-3.57756,1
C=CCOc1ccc([C@@H]2SCC(=O)Nc3c2c(=O)[nH]n3C2CCCCCC2)cc1,-1.6753,1
C=CCOc1ccc([C@H]2CC(=O)Nc3[nH]nc(C)c32)cc1,-3.87361,1
C=CCOc1ccc([C@H]2CC(=O)Nc3c2c(C)nn3-c2ccc3nncn3n2)cc1,-1.3295,1
C=CCOc1ccccc1/C=c1\sc2nc(-c3ccc(OCCCC)cc3)nn2c1=O,-5.93182,1
