canonical_smiles,pIC50,n_measurements,pIC50_std
C=Cc1cnc[n+](C)c1,5.301029995663981,1,
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,6.443826699940528,58,0.6573101825357384
CC(/C=C/C(=O)NO)=C\[C@H](C)C(=O)c1ccc(N(C)C)cc1,6.102372908709558,1,
CC(/C=C/c1ccccc1)=C\C(=O)NCCCCCC(=O)NO,5.674422768059582,1,
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,5.522878745280337,1,
CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,5.522878745280337,1,
CC(=O)N(Cc1ccc(C(C)(C)C)cc1)c1ccc(C(=O)NO)cc1,7.068542129310995,1,
CC(=O)N1C(NCc2ccc(C(=O)Nc3ccccc3N)cc2)=NC(=O)C1Cc1c[nH]c2ccccc12,4.614393726401688,1,
CC(=O)N1C(NCc2ccc(C(=O)Nc3ccccc3N)cc2)=NC(=O)C1Cc1ccccc1,4.6439741428068775,1,
CC(=O)N1CCC(CNCc2ccc(-c3noc(C(F)(F)F)n3)cn2)CC1,5.42021640338319,1,
CC(=O)N1CCN(CC(=O)N(Cc2ccc(-c3noc(C(F)(F)F)n3)cc2)c2cccc(C(F)(F)F)c2)CC1,5.585026652029182,1,
CC(=O)N1CCN(c2cncc(-c3ccc4cnn(C(Cc5ccccc5)C(=O)NO)c4c3)c2)CC1,6.903089986991944,1,
CC(=O)NC(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(C(F)(F)F)c1,5.346787486224656,1,
CC(=O)NCCC(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cc1)c1cccc(C(F)(F)F)c1,5.638272163982407,1,
CC(=O)NCCCC[C@@H]1NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CSCCC(=O)O)NC1=O,5.152427340857888,1,
CC(=O)NCCCC[C@@H]1NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@H](CCCCCC(=O)O)NC1=O,6.0,1,
CC(=O)NCCCC[C@@H]1NC(=O)C[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@H](CCCCCC(=O)O)NC1=O,5.860120913598763,1,
CC(=O)N[C@@H](Cc1ccc(OCCc2ccccc2)cc1)C(=O)NO,4.841637507904751,1,
CC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)NO,5.236572006437063,1,
CC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,4.432973633840939,1,
CC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,5.309803919971486,1,
CC(=O)Nc1ccc(C(=O)CSc2nc(C)cc(O)n2)cc1,4.621602099051862,2,0.0
CC(=O)Nc1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(Cl)cc1Cl)C2.Cl,6.995678626217357,1,
CC(=O)SCC(=O)CCCCCCC(=O)Nc1ccccc1,6.721246399047171,1,
CC(=O)SCC/C=C/[C@@H]1CC(=O)N[C@H](C(C)C)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@H](C(C)C)c2cn(nn2)CC(=O)O1,5.7447274948966935,1,
CC(=O)SCC/C=C/[C@@H]1CC(=O)N[C@H](C(C)C)C(=O)N[C@H](Cc2cn(C)cn2)C(=O)N[C@H](C(C)C)c2cn(nn2)CC(=O)O1,5.790484985457369,1,
CC(=O)SCCCCCCNC(=O)c1cc(-c2ccc(F)cc2)nn1C,5.376750709602099,1,
CC(=O)c1cc(/C=C/C(=O)NO)n(C)c1,4.948847477552619,1,
CC(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cc1)c1cccc(C(F)(F)F)c1)c1ncccn1,5.769551078621726,1,
CC(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cc1)c1cccc(C(F)(F)F)c1)n1cncn1,5.721246399047171,1,
CC(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1)c1ccn(C)n1,5.769551078621726,1,
CC(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1)n1cccn1,5.795880017344075,1,
CC(C)(C#N)C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cc1)c1cccc(C(F)(F)F)c1,5.0,1,
CC(C)(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1)n1cccn1,5.130768280269024,1,
CC(C)(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1)n1cncn1,5.508638306165727,1,
CC(C)(C)C(=O)N1CCc2cc(C(=O)NO)ccc2C1,5.6777807052660805,1,
CC(C)(C)C(=O)N1Cc2ccc(C(=O)NO)cc2C1,5.886056647693163,1,
CC(C)(C)CC(C)(C)n1nnnc1CNCC1CCN(c2ncc(C(=O)NO)cn2)CC1,6.189095719331299,1,
CC(C)(C)NC(=O)[C@@H]1Cc2ccc(OCC(=O)NO)cc2CN1.Cl,4.914709421769935,1,
CC(C)(C)NC(=O)[C@@H]1Cc2ccc(OCC(=O)NO)cc2CN1C(=O)OC(C)(C)C,5.339134521996131,1,
CC(C)(C)OC(=O)C1COCC(=O)N1c1ccc(-c2noc(C(F)(F)F)n2)c(F)c1,5.259637310505756,1,
CC(C)(C)OC(=O)CC(O)/C=C/CCSSCC/C=C/C(O)CC(=O)OC(C)(C)C,4.958607314841775,1,
CC(C)(C)OC(=O)CCCCCCC(=O)Nc1ccc(OCc2cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c2)cc1,4.370590400897281,1,
CC(C)(C)OC(=O)CC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,4.583858968831671,1,
CC(C)(C)OC(=O)C[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,4.64994590642097,1,
CC(C)(C)OC(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1,4.721246399047171,1,
CC(C)(C)OC(=O)N(Cc1ccc(C(C)(C)C)cc1)c1ccc(C(=O)NO)cc1,6.197226274708024,1,
CC(C)(C)OC(=O)N1C(NCc2ccc(C(=O)Nc3ccccc3N)cc2)=NC(=O)C1Cc1c[nH]c2ccccc12,4.565431095965801,1,
CC(C)(C)OC(=O)N1CC(=O)N(c2ccc(-c3noc(C(F)(F)F)n3)cc2)[C@H](c2ccccc2)C1,5.366531544420413,1,
CC(C)(C)OC(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,5.730487055782083,1,
CC(C)(C)OC(=O)N1CCC(C(=O)N2CC3(C[C@H]2C(=O)NCCCCCC(=O)NO)SCCS3)CC1,5.84163750790475,1,
CC(C)(C)OC(=O)N1CCC2(CC1)CN(Cc1ccc(C(=O)NO)cc1)c1ccccc12,5.795337488251781,1,
CC(C)(C)OC(=O)N1CCC2(CC1)CN(Cc1ccc(C(=O)NO)s1)c1ccccc12,5.871600731282193,1,
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.119186407719209,1,
CC(C)(C)OC(=O)N1CCN(c2ccc(-c3noc(C(F)(F)F)n3)cn2)[C@@H](c2ccccc2)C1,5.214670164989233,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)NCCc1ccccc1,5.573488738635424,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)NCc1ccccc1,5.467245621007502,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(-c2ccccc2)cc1,5.703334809738469,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(F)c(Cl)c1,5.809668301829708,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccc(F)cc1,5.59176003468815,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1cccc(Cl)c1,5.931814138253838,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1cccc2ccccc12,5.371611069949688,1,
CC(C)(C)OC(=O)N1Cc2cc(OCC(=O)NO)ccc2C[C@H]1C(=O)Nc1ccccc1,5.889410289700751,1,
CC(C)(C)OC(=O)NCC(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,5.924453038607469,1,
CC(C)(C)OC(=O)NCCC(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,5.721246399047171,1,
CC(C)(C)OC(=O)NCCCC(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.017728766960431,1,
CC(C)(C)OC(=O)NCCCC[C@@H]1C(=O)Nc2ccccc2N1Cc1ccc(C(=O)NO)cc1,5.939302159646388,1,
CC(C)(C)OC(=O)NCCCC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,4.661742769753745,1,
CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.455931955649724,1,
CC(C)(C)OC(=O)NCCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,6.102372908709558,1,
CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCC1,4.356547323513812,1,
CC(C)(C)OC(=O)N[C@@H](CO)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.060480747381382,1,
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.853871964321762,1,
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,7.6777807052660805,1,
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCC(=O)NO)cc1)C(=O)Nc1ccccc1,6.6439741428068775,1,
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,7.455931955649724,1,
CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCC(=O)NO)no2)cc1,5.437707135543525,1,
CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,5.185577216152018,2,0.0301668492495677
CC(C)(C)OC(=O)Nc1ccc(-c2cc(NC(=O)CCCCCCC(=O)NO)no2)cc1,5.164246032480617,1,
CC(C)(C)OC(=O)Nc1ccc(-c2ncc(C(=O)NCCCCCCC(=O)NO)s2)cc1,5.282329496997738,1,
CC(C)(C)OC(=O)Nc1ccc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc1,6.8326826652518236,1,
CC(C)(C)OC(=O)Nc1cccc(-c2cc(C(=O)NCCCCC(=O)NO)no2)c1,5.235823867609669,1,
CC(C)(C)OC(=O)Nc1cccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)c1,5.091300567647776,1,
CC(C)(C)OC(=O)Nc1cccc(-c2csc(NC(=O)CCCCCC(=O)NO)n2)c1,5.58838029403677,1,
CC(C)(C)OC(=O)Nc1cccc(-c2csc(NC(=O)CCCCCCC(=O)NO)n2)c1,5.58838029403677,1,
CC(C)(C)OC(=O)Nc1cccc(C(=O)/C=C/c2ccc(/C=C/C(=O)NO)cc2)c1,5.920818753952375,1,
CC(C)(C)OC(=O)[C@@H]1CCC(=O)N1c1cc(F)c(-c2noc(C(F)(F)F)n2)cc1F,4.823908740944319,1,
CC(C)(C)OC(=O)[C@@H]1CCC(=O)N1c1ccc(-c2noc(C(F)(F)F)n2)c(F)c1,4.721246399047171,1,
CC(C)(C)OC(=O)[C@@H]1CCC(=O)N1c1ccc(-c2noc(C(F)(F)F)n2)c(F)c1F,5.130768280269024,1,
CC(C)(C)OC(=O)[C@@H]1CCC(=O)N1c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.207608310501746,1,
CC(C)(C)OC(=O)[C@@H]1COCC(=O)N1c1ccc(-c2noc(C(F)(F)F)n2)c(F)c1,5.42021640338319,1,
CC(C)(C)OC(=O)n1c(C[C@@H]2N=C(c3ccccc3)c3ccccc3N(CCCCC(=O)NO)C2=O)cc2ccccc21,5.076238039171299,1,
CC(C)(C)OC(=O)n1cnc(C[C@@H]2NC(=O)[C@]3(C)CSC(=N3)c3csc(n3)CNC(=O)C[C@@H](/C=C/CCS)OC2=O)c1,6.267606240177031,1,
CC(C)(C)Oc1ccc(C[C@@H]2C(=O)Nc3ccccc3N2Cc2ccc(C(=O)NO)cc2)cc1,6.6020599913279625,1,
CC(C)(C)Oc1ccc(C[C@@H]2N=C(c3ccccc3)c3ccccc3N(CCCCC(=O)NO)C2=O)cc1,5.481486060122112,1,
CC(C)(C)c1[nH]c2ccccc2c1[C@@H]1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2F)C1,6.438898616350944,1,
CC(C)(C)c1[nH]c2ccccc2c1[C@H]1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2F)C1,6.66354026615147,1,
CC(C)(C)c1cc(C(=O)N(CC2CC2)c2ccc(C(=O)NO)cc2)cc(C(C)(C)C)c1,6.647817481888637,1,
CC(C)(C)c1cc(CN(C(=O)c2cccc(C(F)(F)F)c2)c2ccc(C(=O)NO)cc2)cc(C(C)(C)C)c1,5.518557371497695,1,
CC(C)(C)c1ccc(-c2nc3cc(C(=O)NO)ccc3o2)cc1,6.0,1,
CC(C)(C)c1ccc(-c2nc3cc(C(=O)NO)ccc3s2)cc1,6.3872161432802645,1,
CC(C)(C)c1ccc(-c2nnn([C@@H](Cc3ccccc3)C(=O)NO)c2C#CC2CC2)cc1,6.876148359032914,1,
CC(C)(C)c1ccc(C(=O)N(Cc2ccc(C(=O)NO)cc2)C2CC2)cc1,6.570247719997592,1,
CC(C)(C)c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,6.790484985457369,1,
CC(C)(C)c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,6.610833915635467,2,0.0
CC(C)(C)c1ccc(C2c3ccccc3CCN2CCC(=O)NO)cc1,6.318758762624412,1,
CC(C)(C)c1ccc(CC(=O)Nc2ccc(C(=O)NO)cc2)cc1,7.129011186239425,1,
CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(C)(=O)=O)c2ccc(C(=O)NO)cc2)cc1,6.876148359032914,1,
CC(C)(C)c1ccc(CN(C(=O)CNS(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2)cc1,7.552841968657781,1,
CC(C)(C)c1ccc(CN(Cc2ccc(C(=O)NO)cc2)S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,7.167491087293763,1,
CC(C)(C)c1ccc(CS(=O)(=O)Nc2ccc(/C=C\C(=O)NO)cc2)cc1,7.0,1,
CC(C)(C)c1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1,7.357535479757878,1,
CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1,8.0268721464003,1,
CC(C)(C)c1ccc(S(=O)(=O)NCc2ccc(C(=O)NO)cc2)cc1,6.206209615309181,1,
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(C(=O)NO)cc2)cc1,7.876148359032914,1,
CC(C)(C)c1cccc(C(=O)N(CC2CC2)c2ccc(C(=O)NO)cc2)c1,7.205908981605258,2,0.03599586063142657
CC(C)(C)c1cccc(C(=O)Nc2ccc(C(=O)NO)cc2)c1,7.4723700991286615,2,0.0
CC(C)(C)c1cccc(NC(=O)c2ccc(C(=O)NO)cc2)c1,5.982966660701219,1,
CC(C)(CNC(=O)c1cccc(-c2noc(C(F)(F)F)n2)c1)c1coc(-c2ccccc2)n1,5.6777807052660805,1,
CC(C)C(=O)N1CCC(C(=O)N(Cc2ccc(-c3noc(C(F)(F)F)n3)cc2)c2cccc(C(F)(F)F)c2)CC1,5.6020599913279625,1,
CC(C)C(=O)NC(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(C(F)(F)F)c1,4.346787486224656,1,
CC(C)C(C(=O)Nc1ccc(/C=C/C(=O)NO)nc1)c1ccccc1,6.774690718274137,1,
CC(C)C(C(=O)Nc1ccc(/C=C/C(=O)Nc2ccccc2N)nc1)c1ccccc1,4.3655227298392685,1,
CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,7.060480747381382,1,
CC(C)C(C(=O)Nc1ccc(C(=O)NO)nc1)c1ccccc1,6.05453141486818,1,
CC(C)C(C(=O)Nc1ccc(C(=O)Nc2ccccc2N)nc1)c1ccccc1,4.123782159408358,1,
CC(C)C(c1ccc(C(=O)NO)cc1)C(C)C,5.71669877129645,1,
CC(C)CCN(CCCCCCC(=O)NO)c1ncc(C(=O)NCCCn2ccnc2)s1,6.690369832574101,1,
CC(C)CCNNC(=O)c1ccc(N2CCN(C)CC2)cc1,6.851089006890644,1,
CC(C)CCc1c(OCCCCCCC(=O)NO)ccc(CCC(=O)NO)c1O,6.572108349291122,1,
CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2c1OC(=O)CC2,5.968543059069974,1,
CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2ccc(=O)oc12,6.256921608217861,1,
CC(C)CCc1c(OCCCCCCCC(=O)NO)ccc(CCC(=O)NO)c1O,6.553618187777558,1,
CC(C)CNNC(=O)c1ccc(N2CCN(C)CC2)cc1,7.369572124974976,1,
CC(C)C[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2.Cl,6.036212172654444,1,
CC(C)C[C@H](NC(=O)CNC(=O)c1cccc(/C=C/C(=O)NO)c1)B1O[C@@H]2[C@@H]3C[C@H](C[C@]2(C)O1)C3(C)C,6.086716098239581,1,
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,6.221848749616356,1,
